["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8737028625000000e+14 1.1939634408058014e-02 -8.6382931590193213e-01
1.8738200934868300e+14 1.1903949341234734e-02 -8.2254619504028004e-01
1.8739373391440372e+14 1.1866891407122208e-02 -7.8115292634842570e-01
1.8740545994743759e+14 1.1828500339314658e-02 -7.3965496816740905e-01
1.8741718744806006e+14 1.1788820181873005e-02 -6.9805756815822417e-01
1.8742891641654672e+14 1.1747898751541070e-02 -6.5636574845189111e-01
1.8744064685317312e+14 1.1705787106828675e-02 -6.1458429484390775e-01
1.8745237875821494e+14 1.1662539030134131e-02 -5.7271774973189549e-01
1.8746411213194794e+14 1.1618210528177297e-02 -5.3077040847020163e-01
1.8747584697464791e+14 1.1572859355030380e-02 -4.8874631879706243e-01
1.8748758328659072e+14 1.1526544561067933e-02 -4.4664928298062057e-01
1.8749932106805234e+14 1.1479326070376435e-02 -4.0448286233315739e-01
1.8751106031930878e+14 1.1431264288283739e-02 -3.6225038374998009e-01
1.8752280104063616e+14 1.1382419740022194e-02 -3.1995494794082824e-01
1.8753454323231059e+14 1.1332852740892095e-02 -2.7759943904286005e-01
1.8754628689460831e+14 1.1282623097756118e-02 -2.3518653532167685e-01
1.8755803202780562e+14 1.1231789841259590e-02 -1.9271872069235513e-01
1.8756977863217888e+14 1.1180410987793920e-02 -1.5019829681626840e-01
1.8758152670800453e+14 1.1128543329940508e-02 -1.0762739555278973e-01
1.8759327625555906e+14 1.1076242253910989e-02 -6.5007991573094559e-02
1.8760502727511903e+14 1.1023561582343586e-02 -2.2341914963396218e-02
1.8761677976696112e+14 1.0970553440735262e-02 2.0369136329411210e-02
1.8762853373136197e+14 1.0917268145693196e-02 6.3123584334077582e-02
1.8764028916859847e+14 1.0863754113228499e-02 1.0591995928261566e-01
1.8765204607894738e+14 1.0810057785303653e-02 1.4875688831032866e-01
1.8766380446268562e+14 1.0756223572912694e-02 1.9163308470524623e-01
1.8767556432009025e+14 1.0702293814010869e-02 2.3454733775623826e-01
1.8768732565143825e+14 1.0648308744743913e-02 2.7749850324289754e-01
1.8769908845700678e+14 1.0594306482474801e-02 3.2048549459770848e-01
1.8771085273707303e+14 1.0540323019229077e-02 3.6350727475641964e-01
1.8772261849191425e+14 1.0486392224300220e-02 4.0656284870881115e-01
1.8773438572180781e+14 1.0432545854816950e-02 4.4965125674989470e-01
1.8774615442703112e+14 1.0378813573253457e-02 4.9277156842694037e-01
1.8775792460786159e+14 1.0325222970875290e-02 5.3592287717200604e-01
1.8776969626457681e+14 1.0271799596301165e-02 5.7910429560555288e-01
1.8778146939745438e+14 1.0218566988392561e-02 6.2231495148947857e-01
1.8779324400677203e+14 1.0165546712787410e-02 6.6555398431087298e-01
1.8780502009280744e+14 1.0112758401514644e-02 7.0882054246796899e-01
1.8781679765583847e+14 1.0060219795112842e-02 7.5211378103603010e-01
1.8782857669614300e+14 1.0007946786850101e-02 7.9543286008057301e-01
1.8784035721399900e+14 9.9559534686240233e-03 8.3877694349233212e-01
1.8785213920968450e+14 9.9042521782135903e-03 8.8214519831214611e-01
1.8786392268347762e+14 9.8528535475959477e-03 9.2553679451644832e-01
1.8787570763565650e+14 9.8017665520872717e-03 9.6895090523213734e-01
1.8788749406649938e+14 9.7509985601069663e-03 1.0123867073516029e+00
1.8789928197628459e+14 9.7005553833830090e-03 1.0558433825167397e+00
1.8791107136529050e+14 9.6504413274781549e-03 1.0993201184423171e+00
1.8792286223379559e+14 9.6006592424989039e-03 1.1428161105504482e+00
1.8793465458207831e+14 9.5512105739158828e-03 1.1863305638854476e+00
1.8794644841041734e+14 9.5020954134064466e-03 1.2298626952844565e+00
1.8795824371909125e+14 9.4533125496580536e-03 1.2734117357718935e+00
1.8797004050837884e+14 9.4048595190972476e-03 1.3169769331569885e+00
1.8798183877855891e+14 9.3567326564849753e-03 1.3605575548039268e+00
1.8799363852991025e+14 9.3089271453750538e-03 1.4041528905531149e+00
1.8800543976271188e+14 9.2614370683847657e-03 1.4477622557703202e+00
1.8801724247724278e+14 9.2142554572740166e-03 1.4913849944984408e+00
1.8802904667378203e+14 9.1673743428149577e-03 1.5350204826939104e+00
1.8804085235260878e+14 9.1207848044347218e-03 1.5786681315254516e+00
1.8805265951400225e+14 9.0744770196198067e-03 1.6223273907168756e+00
1.8806446815824178e+14 9.0284403130706948e-03 1.6659977519160989e+00
1.8807627828560666e+14 8.9826632055945450e-03 1.7096787520722920e+00
1.8808808989637631e+14 8.9371334627290338e-03 1.7533699768084148e+00
1.8809990299083031e+14 8.8918381430725495e-03 1.7970710637722309e+00
1.8811171756924816e+14 8.8467636463201854e-03 1.8407817059527318e+00
1.8812353363190956e+14 8.8018957609824131e-03 1.8845016549530376e+00
1.8813535117909419e+14 8.7572197117809260e-03 1.9282307242041778e+00
1.8814717021108181e+14 8.7127202066893169e-03 1.9719687921155526e+00
1.8815899072815231e+14 8.6683814836200565e-03 2.0157158051494597e+00
1.8817081273058556e+14 8.6241873567207330e-03 2.0594717808147851e+00
1.8818263621866166e+14 8.5801212622852886e-03 2.1032368105738897e+00
1.8819446119266056e+14 8.5361663042323940e-03 2.1470110626552241e+00
1.8820628765286244e+14 8.4923052991548471e-03 2.1907947847724762e+00
1.8821811559954753e+14 8.4485208209124467e-03 2.2345883067429004e+00
1.8822994503299603e+14 8.4047952447462177e-03 2.2783920430050095e+00
1.8824177595348838e+14 8.3611107908980725e-03 2.3222064950361605e+00
1.8825360836130494e+14 8.3174495677223476e-03 2.3660322536668876e+00
1.8826544225672619e+14 8.2737936142664205e-03 2.4098700012958436e+00
1.8827727764003269e+14 8.2301249422986802e-03 2.4537205140057754e+00
1.8828911451150512e+14 8.1864255777854885e-03 2.4975846635834373e+00
1.8830095287142409e+14 8.1426776017872564e-03 2.5414634194450914e+00
1.8831279272007044e+14 8.0988631907657829e-03 2.5853578504752197e+00
1.8832463405772497e+14 8.0549646562979964e-03 2.6292691267775794e+00
1.8833647688466859e+14 8.0109644841744633e-03 2.6731985213478193e+00
1.8834832120118234e+14 7.9668453728835610e-03 2.7171474116709819e+00
1.8836016700754719e+14 7.9225902714850222e-03 2.7611172812486280e+00
1.8837201430404428e+14 7.8781824168345695e-03 2.8051097210644604e+00
1.8838386309095484e+14 7.8336053701995520e-03 2.8491264309915589e+00
1.8839571336856012e+14 7.7888430532393792e-03 2.8931692211480895e+00
1.8840756513714144e+14 7.7438797833509860e-03 2.9372400132098031e+00
1.8841941839698019e+14 7.6987003083956902e-03 2.9813408416834859e+00
1.8843127314835788e+14 7.6532898408063037e-03 3.0254738551484310e+00
1.8844312939155603e+14 7.6076340910726306e-03 3.0696413174720085e+00
1.8845498712685628e+14 7.5617193006256422e-03 3.1138456090056290e+00
1.8846684635454031e+14 7.5155322741157719e-03 3.1580892277664105e+00
1.8847870707488988e+14 7.4690604111180116e-03 3.2023747906093085e+00
1.8849056928818681e+14 7.4222917372410990e-03 3.2467050343960757e+00
1.8850243299471300e+14 7.3752149346913015e-03 3.2910828171633457e+00
1.8851429819475044e+14 7.3278193722691298e-03 3.3355111192956306e+00
1.8852616488858116e+14 7.2800951348468684e-03 3.3799930447041735e+00
1.8853803307648725e+14 7.2320330523081662e-03 3.4245318220154446e+00
1.8854990275875097e+14 7.1836247279895632e-03 3.4691308057703441e+00
1.8856177393565450e+14 7.1348625666313318e-03 3.5137934776326465e+00
1.8857364660748016e+14 7.0857398018456296e-03 3.5585234476087959e+00
1.8858552077451044e+14 7.0362505231256131e-03 3.6033244552750592e+00
1.8859739643702772e+14 6.9863897024041192e-03 3.6482003710075483e+00
1.8860927359531456e+14 6.9361532201803250e-03 3.6931551972133296e+00
1.8862115224965362e+14 6.8855378912137223e-03 3.7381930695534535e+00
1.8863303240032753e+14 6.8345414898146814e-03 3.7833182581486260e+00
1.8864491404761906e+14 6.7831627747198565e-03 3.8285351687604408e+00
1.8865679719181103e+14 6.7314015135738637e-03 3.8738483439312414e+00
1.8866868183318634e+14 6.6792585070064902e-03 3.9192624640702962e+00
1.8868056797202800e+14 6.6267356123200748e-03 3.9647823484664477e+00
1.8869245560861897e+14 6.5738357667706766e-03 4.0104129562061726e+00
1.8870434474324241e+14 6.5205630104410352e-03 4.0561593869749704e+00
1.8871623537618147e+14 6.4669225086913589e-03 4.1020268817105965e+00
1.8872812750771947e+14 6.4129205741682007e-03 4.1480208230795865e+00
1.8874002113813966e+14 6.3585646883476399e-03 4.1941467357382924e+00
1.8875191626772547e+14 6.3038635225806956e-03 4.2404102863402073e+00
1.8876381289676038e+14 6.2488269586027561e-03 4.2868172832415050e+00
1.8877571102552788e+14 6.1934661084525125e-03 4.3333736758545349e+00
